"2026 MLB Base Series ICONs Checklist
June 2026",,,,,,,,,
Base /250  •  Rainbow /15 per color per player,,,,,,,,,
Player,Team,Core,Rookie,First Mint,Orange,Yellow,Green,Blue,Pink
Corbin Carroll,Arizona Diamondbacks,/250,,,,,,,
Mickey Moniak,Colorado Rockies,/250,,,,,,,
Mookie Betts,Los Angeles Dodgers,/250,,,,,,,
Edwin Díaz,Los Angeles Dodgers,/250,,,,,,,
Freddie Freeman,Los Angeles Dodgers,/250,,,,,,,
Shohei Ohtani,Los Angeles Dodgers,/250,,,,,,,
Will Smith,Los Angeles Dodgers,/250,,,,,,,
Kyle Tucker,Los Angeles Dodgers,/250,,,,,,,
Andy Pages,Los Angeles Dodgers,/250,,✓,,,,,
Yoshinobu Yamamoto,Los Angeles Dodgers,/250,,,,,,,
Manny Machado,San Diego Padres,/250,,,,,,,
Jackson Merrill,San Diego Padres,/250,,,,,,,
Mason Miller,San Diego Padres,/250,,,,,,,
Fernando Tatis Jr.,San Diego Padres,/250,,,,,,,
Rafael Devers,San Francisco Giants,/250,,,,,,,
Logan Webb,San Francisco Giants,/250,,,,,,,
Jung Hoo Lee,San Francisco Giants,/250,,✓,,,,,
Bryce Eldridge,San Francisco Giants,/250,,✓,,,,,
Alex Bregman,Chicago Cubs,/250,,,,,,,
Pete Crow-Armstrong,Chicago Cubs,/250,,,,,,,
Nico Hoerner,Chicago Cubs,/250,,,,,,,
Seiya Suzuki,Chicago Cubs,/250,,,,,,,
Elly De La Cruz,Cincinnati Reds,/250,,,,,,,
Chase Burns,Cincinnati Reds,/250,,,,,,,
Hunter Greene,Cincinnati Reds,/250,,,,,,,
Eugenio Suárez,Cincinnati Reds,/250,,,,,,,
Oneil Cruz,Pittsburgh Pirates,/250,,,,,,,
Paul Skenes,Pittsburgh Pirates,/250,,,/15,/15,/15,/15,/15
Jackson Chourio,Milwaukee Brewers,/250,,,,,,,
William Contreras,Milwaukee Brewers,/250,,,,,,,
Jacob Misiorowski,Milwaukee Brewers,/250,,,,,,,
Brice Turang,Milwaukee Brewers,/250,,,,,,,
Christian Yelich,Milwaukee Brewers,/250,,,,,,,
Jordan Walker,St. Louis Cardinals,/250,,,,,,,
Ronald Acuña Jr.,Atlanta Braves,/250,,,,,,,
Ozzie Albies,Atlanta Braves,/250,,,,,,,
Drake Baldwin,Atlanta Braves,/250,,,,,,,
Matt Olson,Atlanta Braves,/250,,,,,,,
Austin Riley,Atlanta Braves,/250,,,,,,,
Chris Sale,Atlanta Braves,/250,,,,,,,
Spencer Strider,Atlanta Braves,/250,,,,,,,
Sandy Alcantara,Miami Marlins,/250,,,,,,,
Otto Lopez,Miami Marlins,/250,,✓,,,,,
Kyle Stowers,Miami Marlins,/250,,,,,,,
Bo Bichette,New York Mets,/250,,,,,,,
Francisco Lindor,New York Mets,/250,,,,,,,
Juan Soto,New York Mets,/250,,,,,,,
Bryce Harper,Philadelphia Phillies,/250,,,,,,,
Cristopher Sánchez,Philadelphia Phillies,/250,,,,,,,
Kyle Schwarber,Philadelphia Phillies,/250,,,,,,,
Zack Wheeler,Philadelphia Phillies,/250,,,,,,,
CJ Abrams,Washington Nationals,/250,,,,,,,
James Wood,Washington Nationals,/250,,,,,,,
Zach Neto,Los Angeles Angels,/250,,,,,,,
José Soriano,Los Angeles Angels,/250,,✓,,,,,
Mike Trout,Los Angeles Angels,/250,,,/25,/25,/25,/25,/25
Nick Kurtz,Athletics,/250,,,,,,,
Shea Langeliers,Athletics,/250,,,,,,,
Brent Rooker,Athletics,/250,,,,,,,
Jacob Wilson,Athletics,/250,,,,,,,
Logan Gilbert,Seattle Mariners,/250,,,,,,,
Cal Raleigh,Seattle Mariners,/250,,,,,,,
Bryan Woo,Seattle Mariners,/250,,,,,,,
Jacob deGrom,Texas Rangers,/250,,,,,,,
Wyatt Langford,Texas Rangers,/250,,,,,,,
Corey Seager,Texas Rangers,/250,,,,,,,
Jose Altuve,Houston Astros,/250,,,,,,,
Yordan Alvarez,Houston Astros,/250,,,,,,,
Hunter Brown,Houston Astros,/250,,,,,,,
Colson Montgomery,Chicago White Sox,/250,,,,,,,
Munetaka Murakami,Chicago White Sox,/250,✓,✓,/25,/25,/25,/25,/25
Chase DeLauter,Cleveland Guardians,/250,✓,✓,,,,,
Steven Kwan,Cleveland Guardians,/250,,,,,,,
José Ramírez,Cleveland Guardians,/250,,,,,,,
Riley Greene,Detroit Tigers,/250,,,,,,,
Kevin McGonigle,Detroit Tigers,/250,✓,✓,,,,,
Tarik Skubal,Detroit Tigers,/250,,,,,,,
Framber Valdez,Detroit Tigers,/250,,,,,,,
Jac Caglianone,Kansas City Royals,/250,,,,,,,
Vinnie Pasquantino,Kansas City Royals,/250,,,,,,,
Salvador Perez,Kansas City Royals,/250,,,,,,,
Bobby Witt Jr.,Kansas City Royals,/250,,,/25,/25,/25,/25,/25
Byron Buxton,Minnesota Twins,/250,,,,,,,
Joe Ryan,Minnesota Twins,/250,,,,,,,
Pete Alonso,Baltimore Orioles,/250,,,,,,,
Gunnar Henderson,Baltimore Orioles,/250,,,,,,,
Adley Rutschman,Baltimore Orioles,/250,,,,,,,
Roman Anthony,Boston Red Sox,/250,,,,,,,
Garrett Crochet,Boston Red Sox,/250,,,,,,,
Jarren Duran,Boston Red Sox,/250,,,,,,,
Ranger Suárez,Boston Red Sox,/250,,,,,,,
Cody Bellinger,New York Yankees,/250,,,,,,,
Jazz Chisholm Jr.,New York Yankees,/250,,,,,,,
Gerrit Cole,New York Yankees,/250,,,,,,,
Jasson Domínguez,New York Yankees,/250,,,,,,,
Max Fried,New York Yankees,/250,,,,,,,
Aaron Judge,New York Yankees,/250,,,,,,,
Ben Rice,New York Yankees,/250,,✓,,,,,
Junior Caminero,Tampa Bay Rays,/250,,,/25,/25,/25,/25,/25
Yandy Díaz,Tampa Bay Rays,/250,,,,,,,
Vladimir Guerrero Jr.,Toronto Blue Jays,/250,,,,,,,
Kazuma Okamoto,Toronto Blue Jays,/250,✓,✓,,,,,
George Springer,Toronto Blue Jays,/250,,,,,,,
