pipeline,runs_72h,ok_72h,last_run_utc,p90_gap_s,max_gap_s
alerts-dispatch,263,227,0823-0159,906,2706
alerts-send,402,402,0823-0204,602,1802
allday-badge-ingest,3,3,0822-1237,86400,86400
allday-badge-low-ask-refresh,135,135,0823-0200,1804,3607
allday-buyer-backfill,21,4,0823-0015,21600,21600
allday-edition-resolver,310,308,0823-0158,1201,2415
allday-listing-ask-fmv,11,11,0823-0040,21632,43168
allday-listing-cache,209,209,0823-0154,1201,3600
allday-listing-serial-backfill,22,17,0823-0034,10801,21600
allday-listings-indexer,266,262,0823-0202,903,3600
allday-listings-indexer-heartbeat,185,185,0823-0202,903,1801
allday-listings-retry,280,276,0823-0153,902,2698
allday-listings-retry-heartbeat,189,189,0823-0153,902,1800
allday-lock-refresh,58,47,0823-0023,7200,14400
allday-offers-indexer,211,208,0823-0147,1201,2402
allday-pack-listings,274,266,0823-0150,1214,2422
allday-pack-listings-heartbeat,137,137,0823-0150,1214,2422
allday-pack-opens-backfill,38,7,0822-1316,9611,43800
allday-pack-opens-forward,129,126,0823-0109,1937,5421
allday-price-recover,207,203,0823-0201,1259,2402
allday-sales-history-backfill,22,21,0823-0007,10836,21616
allday-sales-indexer,311,307,0823-0158,1200,2401
allday-sales-indexer-heartbeat,213,213,0823-0158,1201,2400
allday-studio-sales-history-backfill,24,24,0823-0052,10825,10838
allday-unmapped-resolver,306,173,0823-0158,1204,2578
allday-unmapped-resolver-tail,21,6,0823-0040,10814,21607
allow-list-reconcile,68,68,0823-0114,3626,7216
analytics-smoke,139,128,0823-0143,1801,3601
apply-fmv-haircut,3,0,0822-0630,86400,86400
backfill-offer-fill-sales,102,102,0823-0034,3507,7001
backfill-pack-rip-metadata,26,17,0822-2353,21600,28800
candy-editions-ingest-heartbeat,4,4,0822-2210,86411,86411
candy-listings-indexer,8,8,0823-0035,43210,43210
candy-listings-indexer-heartbeat,21,21,0823-0035,10816,21600
candy-offers-indexer,12,8,0823-0050,21631,21631
candy-offers-indexer-heartbeat,10,10,0823-0050,43218,43218
candy-sales-indexer,19,19,0823-0020,21601,21622
check-alerts,202,193,0823-0155,1209,3600
classify-acquisitions-multicollection,70,62,0822-2306,7199,14403
classify-acquisitions-multicollection-heartbeat,47,47,0823-0206,3602,7202
compute-allday-pack-ev,133,37,0823-0137,1829,5399
compute-golazos-pack-ev,5,5,0823-0038,64817,64817
compute-laliga-pack-ev-heartbeat,2,2,0822-0530,86319,86319
compute-pinnacle-pack-ev,12,12,0823-0018,21655,21657
compute-topshot-pack-ev,1053,729,0823-0201,366,1800
cross-collection-deals-mv,9,9,0823-0142,2400,2400
daily-portfolio-snapshot,3,1,0822-0705,86402,86402
drain-conflated-subeditions,3,2,0822-2030,86430,86430
drain-fmv-cold-tail,112,112,0823-0147,3601,7201
drain-fmv-cold-tail-heartbeat,140,140,0823-0147,1801,3601
editions-hydrate-at-insert,101,101,0823-0155,3537,7024
fmv-recalc,180,72,0823-0137,3224,14861
fmv-recalc-heartbeat,521,521,0823-0155,760,1662
golazos-badge-low-ask-refresh,129,129,0823-0140,1819,7215
golazos-buyer-backfill,3,1,0822-0625,86396,86396
golazos-buyer-discovery,3,3,0822-0818,86438,86438
golazos-listing-cache,209,209,0823-0146,1201,2401
golazos-listings-indexer,277,273,0823-0152,903,1800
golazos-listings-indexer-heartbeat,187,187,0823-0152,903,2702
golazos-sales-history-backfill,20,20,0823-0034,21600,21600
golazos-sales-indexer,313,306,0823-0158,1200,2400
golazos-sales-indexer-heartbeat,214,214,0823-0158,1200,2400
golazos-studio-sales-history-backfill,24,24,0823-0056,10815,10843
hybrid_custody_events,208,201,0823-0153,1200,2400
ingest-canonical-guard,96,96,0823-0155,3855,7423
ingest-pinnacle-mints-backfill,1914,1912,0823-0204,159,2534
ingest-pinnacle-mints-forward,401,401,0823-0206,684,2536
ingest-topshot-challenges,3,3,0822-0810,86428,86428
lock-check-batch,141,69,0823-0138,1801,3601
match-topshot-players,3,1,0822-0800,86400,86400
offers-sweep,201,200,0823-0202,1201,2401
ownership-onchain-walk,3,3,0822-1330,86402,86402
ownership-onchain-walk-heartbeat,2,2,0822-1330,86398,86398
pack-ask-hourly-low-roll,271,271,0823-0152,902,2700
pack-events-ingest,245,245,0823-0154,903,6303
pack-events-ingest-backfill,258,258,0823-0201,903,3600
pack-pull-source-rip-id-backfill,138,136,0823-0141,1801,3600
panini-ingest,2165,2165,0823-0201,31,25285
panini-ingest-enum,17,17,0823-0111,14477,28898
panini-squeeze-mv,6,6,0823-0148,7200,7200
pinnacle-catalog-backfill,4,4,0822-2137,86417,86417
pinnacle-catalog-floor-refresh,12,12,0823-0145,21654,21675
pinnacle-events-ingest,279,279,0823-0204,903,2698
pinnacle-fmv-recalc,5,5,0822-2237,44988,44988
pinnacle-listings-indexer,206,202,0823-0205,1203,2403
pinnacle-listings-indexer-heartbeat,143,143,0823-0205,1202,2397
pinnacle-listings-retry,259,254,0823-0203,906,4506
pinnacle-metadata-backfill,62,62,0823-0122,7200,7201
pinnacle-nft-resolver,871,685,0823-0206,301,1201
pinnacle-owner-discovery,101,99,0823-0153,3680,7000
pinnacle-owner-discovery-forward,140,140,0823-0157,1801,3600
pinnacle-resolve-buyers,28,28,0823-0204,36002,48989
pinnacle-sales-history-backfill,21,21,0823-0013,21570,21600
pinnacle-sales-indexer,206,202,0823-0204,1201,2401
pinnacle-studio-sales-history-backfill,25,25,0823-0058,10815,10841
pinnacle-sync-heartbeat,2,2,0822-1007,86400,86400
pinnacle-trades-indexer,10,10,0823-0205,651,651
pinnacle-wmc-render-id,69,66,0823-0137,3601,7200
pipeline-runs-daily-rollup,11,11,0822-1811,21600,21602
populate-pinnacle-wmc-fmv,68,17,0823-0203,3602,7201
promote_unmapped_sales,1206,1186,0823-0201,619,2309
prune-log-tables,3,3,0822-0423,86400,86400
purge-stale-listings,3,3,0822-0401,86456,86456
reconcile-saved-wallet-stats,48,2,0822-2345,10745,28794
refresh_wmc_fmv_changed,696,446,0823-0203,592,4144
refresh_wmc_fmv_drift_active,681,274,0823-0204,591,4132
refresh-error-triage,139,116,0823-0144,1801,3601
refresh-insights-cache,766,454,0823-0205,357,2946
refresh-pack-grail-metrics-mv,35,35,0822-2323,10801,28800
refresh-special-serial-owners-mv,4,4,0822-1643,43201,43201
resolve-topshot-stubs,109,109,0823-0039,3600,12599
run-insider-detectors,66,27,0822-2326,3601,7201
sales-counterparty-backfill,836,808,0823-0200,300,1500
sales-seller-recovery-dune,71,70,0823-0147,3615,7200
sales-seller-recovery-dune-heartbeat,49,49,0823-0147,3619,3641
sales-serial-backfill,36,36,0823-0040,7209,7246
snapshot-institutional-wallets,4,3,0822-1007,78185,78185
snapshot-pack-asks,815,807,0823-0203,306,1507
snapshot-pack-asks-heartbeat,559,559,0823-0203,306,1200
stale-fmv-monitor,104,104,0823-0157,3788,7389
sync-nba-projections,22,0,0823-0007,10801,21601
topshot-active-listings-ingest,7,2,0822-0947,70945,70945
topshot-atlas-pack-ev,43,43,0822-2325,10800,43200
topshot-badge-set-backfill,7,7,0822-2115,64865,64865
topshot-buyer-backfill,136,132,0823-0204,1801,3601
topshot-buyer-backfill-historical,138,95,0823-0142,1802,3602
topshot-catalog-backfill,3,3,0822-0212,86417,86417
topshot-deal-floor-serials,69,46,0823-0137,3601,7200
topshot-first-mint-mv,9,9,0823-0151,1802,1802
topshot-fmv-populate,12,3,0823-0138,21601,21602
topshot-listing-cache,208,208,0823-0155,1252,2427
topshot-moments-hydrator,81,81,0822-2332,8400,44401
topshot-offers-indexer,207,203,0823-0152,1201,2404
topshot-onchain-art-backfill,24,23,0823-0022,12375,21600
topshot-pack-opens-history-backfill,270,268,0823-0156,936,2802
topshot-sales-history-backfill,123,120,0823-0152,3115,6988
topshot-sales-indexer,293,293,0823-0203,1201,3601
topshot-sales-indexer-heartbeat,199,199,0823-0203,1200,2401
topshot-stub-resolver,138,136,0823-0139,1801,3601
topshot-subedition-backfill,3,3,0822-2038,86599,86599
ufc-enrichment-drain,138,134,0823-0137,1801,3601
ufc-sales-history-backfill,22,21,0823-0048,10810,21637
ufc-sales-indexer,103,100,0823-0158,3673,7306
ufc-stub-thumbnail-resolver,139,138,0823-0142,1801,3602
ufc-studio-sales-history-backfill,3,3,0822-0601,86469,86469
ultimate-fmv-recalc-v1,4,4,0822-0645,86399,86399
wallet-backfill,1001,863,0823-0129,37,21196
wallet-backfill-allday,3272,2394,0823-0140,20,20611
wallet-backfill-golazos,693,681,0823-0129,85,21579
wallet-backfill-multicollection-complete,1254,1242,0823-0129,20,21323
wallet-backfill-multicollection-dispatch,2786,2786,0823-0129,20,21261
wallet-backfill-pinnacle,3313,2693,0823-0136,20,20610
wallet-backfill-ufc,1595,1496,0823-0130,25,21074
wallet-username-resolver,21,2,0823-0008,21600,21601
wmc-fmv-populate,5098,5094,0823-0203,270,2087
